mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
17	17	70	70	0.0	0	0	Dynamic	3/2	3	1	0						pp													
17	17	70	70	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	270																
17	17	71	71	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	271																
17	17	73	73	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	272																
17	17	75	75	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	273																
18	18	76	76	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	274	erst	do														
18	18	77	77	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	275	der	I														
18	18	78	78	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	276	Blick	fix														
18	18	79	79	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	277	mir	my														
18	18	80	80	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	278	nicht,	gaze,														
18	18	76	76	0.5	0	0	Chord	3/2	2	1	1/8	1/8	1	279												40				
18	18	153/2	153/2	0.5	1/8	1/8	Chord	3/2	2	1	1/8	1/8	1	280												40				
18	18	77	77	0.5	1/4	1/4	Chord	3/2	2	1	1/8	1/8	1	281												40				
18	18	155/2	155/2	0.5	3/8	3/8	Chord	3/2	2	1	1/8	1/8	1	282																
18	18	78	78	0.5	1/2	1/2	Chord	3/2	2	1	1/8	1/8	1	283												41				
18	18	157/2	157/2	0.5	5/8	5/8	Chord	3/2	2	1	1/8	1/8	1	284																
18	18	79	79	0.5	3/4	3/4	Chord	3/2	2	1	1/8	1/8	1	285												42				
18	18	159/2	159/2	0.5	7/8	7/8	Chord	3/2	2	1	1/8	1/8	1	286																
18	18	80	80	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	287																
18	18	76	76	0.5	0	0	Chord	3/2	2	2	1/8	1/8	1	288																
18	18	153/2	153/2	0.5	1/8	1/8	Chord	3/2	2	2	1/8	1/8	1	289																
18	18	77	77	0.5	1/4	1/4	Chord	3/2	2	2	1/8	1/8	1	290																
18	18	155/2	155/2	0.5	3/8	3/8	Chord	3/2	2	2	1/8	1/8	1	291																
18	18	78	78	2.0	1/2	1/2	Chord	3/2	2	2	1/2	1/2	1	292												43				
18	18	80	80	0.5	1	1	Chord	3/2	2	2	1/8	1/8	1	293												43				
18	18	161/2	161/2	0.5	9/8	9/8	Chord	3/2	2	2	1/8	1/8	1	294												43				
18	18	81	81	0.5	5/4	5/4	Chord	3/2	2	2	1/8	1/8	1	295												43				
18	18	163/2	163/2	0.5	11/8	11/8	Chord	3/2	2	2	1/8	1/8	1	296																
18	18	76	76	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	297																
18	18	77	77	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	298																
18	18	79	79	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	299																
18	18	81	81	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	300																
19	19	82	82	0.0	0	0	SystemText	3/2	1	1	0									Etwas bewegter										
19	19	82	82	0.0	0	0	Tempo	3/2	1	1	0										𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0					
19	19	82	82	0.0	0	0	StaffText	3/2	1	1	0								Un poco più mosso											
19	19	82	82	0.0	0	0	StaffText	3/2	2	1	0								espr.											
19	19	82	82	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	301												44				
19	19	83	83	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	302												44				
19	19	84	84	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	303												44				
19	19	85	85	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	304												44				
19	19	86	86	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	305												44				
19	19	87	87	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	306																
19	19	82	82	0.0	0	0	Dynamic	3/2	3	1	0						p													
19	19	82	82	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	307																
19	19	84	84	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	308																
19	19	86	86	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	309																
19	19	87	87	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	310																
19	19	82	82	4.0	0	0	Chord	3/2	3	2	1	1	1	311																
20	20	88	88	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	312												45				
20	20	90	90	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	313																
20	20	92	92	0.0	1	1	Spanner	3/2	2	1	0																	1		
20	20	92	92	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	314												46		1		
20	20	93	93	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	315												46		1		
20	20	88	88	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	316												47				
20	20	90	90	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	317																
20	20	88	88	4.0	0	0	Chord	3/2	3	2	1	1	1	318																
21	21	96	96	0.0	1/2	1/2	Spanner	3/2	1	1	0																	2		
21	21	96	96	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	319	son-	first												2		
21	21	97	97	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	320	-dern	mine												2		
21	21	98	98	0.0	1	1	Spanner	3/2	1	1	0																			
21	21	98	98	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	321	auf	eyes														
21	21	99	99	0.0	5/4	5/4	Spanner	3/2	1	1	0																			1
21	21	99	99	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	322	die	seek														1
21	21	94	94	0.0	0	0	Spanner	3/2	2	1	0															46				
21	21	94	94	0.0	0	0	Spanner	3/2	2	1	0															46				2
21	21	94	94	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	323												46				2
21	21	95	95	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	324												46				2
21	21	96	96	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	325												46				2
21	21	97	97	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	326												46				2
21	21	98	98	0.0	1	1	Spanner	3/2	2	1	0															46				
21	21	98	98	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	327												46				
21	21	99	99	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	328																
21	21	94	94	6.0	0	0	Chord	3/2	2	2	3/2	1	3/2	329																
21	21	94	94	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	330												48				
21	21	96	96	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	331																
21	21	94	94	6.0	0	0	Chord	3/2	3	2	3/2	1	3/2	332																
22	22	100	100	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	333	Stel-	low-														1
22	22	102	102	0.0	1/2	1/2	Spanner	3/2	1	1	0																			
22	22	102	102	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	334	-le,	-er,														
22	22	104	104	0.0	1	1	Dynamic	3/2	1	1	0						p													
22	22	104	104	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	335	nä-	toward		articTenutoAbove												
22	22	105	105	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	336	-her,	the		articTenutoAbove												
22	22	100	100	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	337																
22	22	102	102	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	338																
22	22	104	104	0.0	1	1	Dynamic	3/2	2	1	0						pp													
22	22	104	104	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	339				articTenutoAbove												
22	22	105	105	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	340				articTenutoAbove												
22	22	100	100	6.0	0	0	Chord	3/2	2	2	3/2	1	3/2	341																
22	22	100	100	4.0	0	0	Chord	3/2	3	1	1	1	1	342																
22	22	104	104	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	343																
22	22	105	105	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	344																
23	23	106	106	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	345	nä-	thresh-														
23	23	108	108	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	346	-her	-old														
23	23	110	110	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	347	nach	of														
23	23	111	111	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	348	der	the														
23	23	106	106	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	349												49				
23	23	108	108	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	350																
23	23	110	110	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	351				articTenutoAbove												
23	23	111	111	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	352				articTenutoAbove												
23	23	106	106	4.0	0	0	Chord	3/2	2	2	1	1	1	353																
23	23	106	106	2.0	0	0	Chord	3/2	2	3	1/2	1/2	1	354												50				
23	23	108	108	2.0	1/2	1/2	Chord	3/2	2	3	1/2	1/2	1	355																
23	23	106	106	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	356												51				
23	23	108	108	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	357																
23	23	106	106	4.0	0	0	Chord	3/2	3	2	1	1	1	358																
24	24	112	112	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	359	Schwel-	door,														
24	24	114	114	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	360	-le,	there,														
24	24	116	116	0.0	1	1	StaffText	3/2	1	1	0								steigernd											
24	24	116	116	0.0	1	1	StaffText	3/2	1	1	0								animando											
24	24	116	116	0.0	1	1	Spanner	3/2	1	1	0																	3		
24	24	116	116	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	361	dort,	where										52		3		
24	24	117	117	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	362														3		
24	24	112	112	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	363												53				
24	24	114	114	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	364																
24	24	116	116	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	365				articTenutoAbove												
24	24	117	117	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	366				articTenutoAbove												
24	24	112	112	4.0	0	0	Chord	3/2	2	2	1	1	1	367																
24	24	116	116	0.0	1	1	Spanner	3/2	2	2	0																	4		
24	24	116	116	2.0	1	1	Chord	3/2	2	2	1/2	1/2	1	368														4		
24	24	112	112	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	369																
24	24	112	112	4.0	0	0	Chord	3/2	3	2	1	1	1	370												54				
24	24	116	116	2.0	1	1	Chord	3/2	3	2	1/2	1/2	1	371																
25	25	118	118	0.0	0	0	Dynamic	3/2	1	1	0						f													
25	25	118	118	0.0	0	0	Tempo	3/2	1	1	0										𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0					
25	25	118	118	0.0	0	0	Spanner	3/2	1	1	0																			
25	25	118	118	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	372	dort,	they		articTenutoAbove												
25	25	119	119	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	373	wo	in		articTenutoAbove												
25	25	120	120	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	374	wür-	vain		articTenutoAbove												
25	25	121	121	0.0	3/4	3/4	Tempo	3/2	1	1	0										𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0					
25	25	121	121	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	375	-de	would		articTenutoAbove												
25	25	122	122	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	376	dein	 trace										55				
25	25	123	123	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	377																
25	25	118	118	0.0	0	0	Dynamic	3/2	2	1	0						p													
25	25	118	118	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	378												56				
25	25	119	119	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	379												56				
25	25	120	120	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	380												56				
25	25	121	121	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	381												56				
25	25	122	122	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	382												56				
25	25	123	123	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	383																
25	25	118	118	0.0	0	0	Spanner	3/2	2	2	0																			
25	25	118	118	6.0	0	0	Chord	3/2	2	2	3/2	1	3/2	384																
25	25	118	118	4.0	0	0	Chord	3/2	3	1	1	1	1	385																
25	25	122	122	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	386												57				
25	25	123	123	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	387																
25	25	118	118	4.0	0	0	Chord	3/2	3	2	1	1	1	388																
25	25	122	122	2.0	1	1	Chord	3/2	3	2	1/2	1/2	1	389																
26	26	124	124	0.0	0	0	Tempo	3/2	1	1	0										𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0					
26	26	124	124	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	390	lieb	thy		articTenutoAbove												
26	26	125	125	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	391	Ge-	sweet		articTenutoAbove												
26	26	126	126	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	392	-sicht-	in-		articTenutoAbove												
26	26	127	127	0.0	3/4	3/4	Tempo	3/2	1	1	0										𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0					
26	26	127	127	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	393	-chen	-fant		articTenutoAbove												
26	26	128	128	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	394	sein,	face,										58				
26	26	129	129	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	395																
26	26	124	124	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	396												59				
26	26	125	125	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	397												59				
26	26	126	126	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	398												59				
26	26	127	127	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	399												59				
26	26	128	128	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	400												59				
26	26	129	129	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	401																
26	26	124	124	2.0	0	0	Chord	3/2	2	2	1/2	1/2	1	402												60				
26	26	126	126	2.0	1/2	1/2	Chord	3/2	2	2	1/2	1/2	1	403												60				
26	26	128	128	2.0	1	1	Chord	3/2	2	2	1/2	1/2	1	404																
26	26	124	124	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	405												61				
26	26	126	126	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	406																
26	26	124	124	6.0	0	0	Chord	3/2	3	2	3/2	1	3/2	407																
27	27	130	130	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	408	wenn	as														
27	27	131	131	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	409	du	in														
27	27	132	132	0.0	1/2	1/2	Spanner	4/4	1	1	0																			3
27	27	132	132	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	410	freu-	times														3
27	27	130	130	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	411												62				
27	27	131	131	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	412												62				
27	27	132	132	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	413												62				
27	27	130	130	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	414												63				
27	27	132	132	0.0	1/2	1/2	Spanner	4/4	2	2	0																			4
27	27	132	132	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	415																4
27	27	130	130	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	416																
27	27	133	133	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	417				articAccentBelow												
28	28	134	134	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	418																3
28	28	135	135	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	419	-den-	of														3
28	28	136	136	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	420	-hel-	yore,														3
28	28	137	137	0.0	3/4	3/4	Spanner	4/4	1	1	0																			
28	28	137	137	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	421	-le	when														
28	28	134	134	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	422												62				4
28	28	135	135	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	423												62				4
28	28	136	136	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	424												62				4
28	28	137	137	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	425																4
28	28	134	134	4.0	0	0	Chord	4/4	3	1	1	1	1	426																
29	29	138	138	0.0	0	0	Spanner	3/2	1	1	0																			5
29	29	138	138	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	427	trä-	fa-														5
29	29	141	141	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	428	-test	-ther														5
29	29	142	142	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	429	mit	would														5
29	29	143	143	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	430	her-	re-														5
29	29	138	138	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	431												64				
29	29	139	139	0.0	1/4	1/4	Spanner	3/2	2	1	0															64				6
29	29	139	139	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	432												64				6
29	29	140	140	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	433												64				6
29	29	141	141	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	434												64				6
29	29	142	142	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	435																6
29	29	138	138	0.0	0	0	Spanner	3/2	2	2	0																			6
29	29	138	138	3.0	0	0	Chord	3/2	3	1	3/4	1/2	3/2	436												65				
29	29	141	141	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	437												65				
29	29	142	142	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	438																
30	30	144	144	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	439	-ein,	-joice,										66				5
30	30	145	145	0.0	1/4	1/4	Spanner	3/2	1	1	0																			
30	30	145	145	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	440																
30	30	146	146	0.0	1/2	1/2	Spanner	3/2	1	1	0																	5		
30	30	146	146	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	441	trä-	fa-												5		
30	30	147	147	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	442	-test	-ther												5		
30	30	148	148	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	443	mit	would												5		
30	30	149	149	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	444	her-	re-												5		
30	30	144	144	0.0	0	0	Spanner	3/2	2	1	0																			
30	30	144	144	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	445												67				
30	30	145	145	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	446												67				
30	30	146	146	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	447												67				
30	30	147	147	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	448												67				
30	30	148	148	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	449												67				
30	30	149	149	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	450																
30	30	144	144	4.0	0	0	Chord	3/2	3	1	1	1	1	451																
30	30	148	148	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	452																
30	30	144	144	6.0	0	0	Chord	3/2	3	2	3/2	1	3/2	453																
31	31	150	150	0.0	0	0	Dynamic	3/2	1	1	0						f													
31	31	150	150	0.0	0	0	Spanner	3/2	1	1	0																			
31	31	150	150	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	454	-ein	-joice,														
31	31	153	153	0.0	3/4	3/4	Tempo	3/2	1	1	0										𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0					
31	31	153	153	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	455	wie	to		articAccentAbove												
31	31	154	154	0.0	1	1	Tempo	3/2	1	1	0										𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0					
31	31	154	154	0.0	1	1	StaffText	3/2	1	1	0								poco ritard.											
31	31	154	154	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	456	sonst,	hear		articAccentAbove								68				
31	31	155	155	0.0	5/4	5/4	Tempo	3/2	1	1	0										𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	68				
31	31	155	155	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	457				articAccentAbove								68				
31	31	150	150	4.0	0	0	Chord	3/2	2	1	1	1	1	458																
31	31	154	154	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	459												69				
31	31	155	155	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	460												69				
31	31	150	150	1.0	0	0	Chord	3/2	2	2	1/4	1/4	1	461												70				
31	31	151	151	1.0	1/4	1/4	Chord	3/2	2	2	1/4	1/4	1	462												70				
31	31	152	152	1.0	1/2	1/2	Chord	3/2	2	2	1/4	1/4	1	463												70				
31	31	153	153	1.0	3/4	3/4	Chord	3/2	2	2	1/4	1/4	1	464												70				
31	31	154	154	1.0	1	1	Chord	3/2	2	2	1/4	1/4	1	465												70				
31	31	155	155	1.0	5/4	5/4	Chord	3/2	2	2	1/4	1/4	1	466																
31	31	150	150	0.0	0	0	Dynamic	3/2	3	1	0						f													
31	31	150	150	4.0	0	0	Chord	3/2	3	1	1	1	1	467												71				
31	31	154	154	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	468																
32	32	156	156	0.0	0	0	Tempo	3/2	1	1	0										𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0					
32	32	156	156	0.0	0	0	Spanner	3/2	1	1	0																			7
32	32	156	156	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	469																7
32	32	157	157	0.0	1/4	1/4	Tempo	3/2	1	1	0										𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0					7
32	32	157	157	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	470	mein	his														7
32	32	158	158	0.0	1/2	1/2	Tempo	3/2	1	1	0										𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0					7
32	32	158	158	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	471	Töch-	child's										72				7
32	32	159	159	0.0	3/4	3/4	Tempo	3/2	1	1	0										𝅘𝅥=61.6	62.0	𝅘𝅥	61.6	0.0	72				7
32	32	160	160	0.0	1	1	Tempo	3/2	1	1	0										𝅘𝅥=60.2	60.0	𝅘𝅥	60.2	0.0					7
32	32	160	160	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	472																7
32	32	161	161	0.0	5/4	5/4	Tempo	3/2	1	1	0										𝅘𝅥=58.8	59.0	𝅘𝅥	58.8	0.0					
32	32	161	161	0.0	5/4	5/4	Spanner	3/2	1	1	0																			
32	32	161	161	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	473	-ter-	sweet														
32	32	156	156	1.0	0	0	Chord	3/2	2	1	1/4	1/4	1	474												69				
32	32	157	157	0.0	1/4	1/4	Spanner	3/2	2	1	0															69				8
32	32	157	157	1.0	1/4	1/4	Chord	3/2	2	1	1/4	1/4	1	475												69				8
32	32	158	158	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	476												69				8
32	32	160	160	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	477												69				8
32	32	161	161	0.0	5/4	5/4	Spanner	3/2	2	1	0																			
32	32	161	161	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	478																
32	32	156	156	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	479												73				
32	32	157	157	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	480												73				
32	32	158	158	0.0	1/2	1/2	Spanner	3/2	3	1	0															73			0	
32	32	158	158	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	481												73			0	
32	32	159	159	0.0	3/4	3/4	Spanner	3/2	3	1	0															73				
32	32	159	159	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	482												73				
32	32	160	160	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	483												73				
32	32	161	161	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	484																
32	32	156	156	2.0	0	0	Chord	3/2	3	2	1/2	1/2	1	485																
32	32	158	158	4.0	1/2	1/2	Chord	3/2	3	2	1	1	1	486																
33	33	162	162	0.0	0	0	SystemText	4/4	1	1	0									Wie zu Anfang										
33	33	162	162	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=57.4	57.0	𝅘𝅥	57.4	0.0					
33	33	162	162	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0					
33	33	162	162	0.0	0	0	StaffText	4/4	1	1	0								Come al principio											
33	33	162	162	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	487	-lein.	voice.														
33	33	325/2	325/2	0.0	1/8	1/8	Tempo	4/4	1	1	0										𝅘𝅥=56.7	57.0	𝅘𝅥	56.7	0.0					
33	33	163	163	0.0	1/4	1/4	Tempo	4/4	1	1	0										𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0					
33	33	162	162	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	488												74				
33	33	325/2	325/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	489																
33	33	163	163	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	490												75				
33	33	327/2	327/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	491																
33	33	164	164	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	492																
33	33	162	162	0.0	0	0	Dynamic	4/4	3	1	0						pp													
33	33	162	162	0.0	0	0	StaffText	4/4	3	1	0								quasi pizz.											
33	33	329/2	329/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	493												76				
33	33	165	165	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	494												76				
33	33	331/2	331/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	495												76				
33	33	162	162	4.0	0	0	Chord	4/4	3	2	1	1	1	496																
33	33	162	162	1.0	0	0	Chord	4/4	3	3	1/4	1/4	1	497				articStaccatoBelow												
33	33	163	163	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	498				articStaccatoBelow												
33	33	165	165	1.0	3/4	3/4	Chord	4/4	3	3	1/4	1/4	1	499				articStaccatoBelow												
34	34	166	166	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	500												77				
34	34	333/2	333/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	501																
34	34	167	167	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	502												78				
34	34	335/2	335/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	503																
