mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	HairPin:3_dim.  	decrescendo_hairpin	crescendo_hairpin
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	31												3				
6	5	17	17	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	32	will	more										2				
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	33	die	the										2				
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	34												4				
6	5	19	19	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	35																
6	5	17	17	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	36																
7	6	21	21	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	37	Sonn’	sun										2				
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	38	so	would										2				
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	39												5				
7	6	23	23	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	40												6				
7	6	21	21	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	41																
8	7	25	25	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	42	hell	gild										2				
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	43	auf-	the										2				
8	7	25	25	4.0	0	0	Chord	4/4	2	1	1		1	1	44												7				
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	45												8				
8	7	27	27	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	46												9				
9	8	29	29	4.0	0	0	Chord	4/4	1	1	1		1	1	47	-geh’n,	morn,														
9	8	29	29	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	48																
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	49				articAccentAbove								10				
9	8	29	29	4.0	0	0	Chord	4/4	3	1	1		1	1	50																
9	8	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	51												11				
9	8	31	31	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	52																
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	53				articAccentAbove								10				
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	54												10				
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	55												10				
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	56												10				
11	10	40	40	0.0	3/4	3/4	Dynamic	4/4	1	1	0							pp													
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	57	als	as														
11	10	37	37	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	58												10				
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	59												10				
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	60																
11	10	37	37	4.0	0	0	Chord	4/4	2	2	1		1	1	61																
11	10	37	37	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	62												12				
11	10	40	40	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	63																
12	11	41	41	0.0	0	0	StaffText	4/4	1	1	0									mit verhaltener Stimme											
12	11	41	41	0.0	0	0	StaffText	4/4	1	1	0									con suono smorzare											
12	11	41	41	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	64	sei	though										13				
12	11	43	43	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	65																
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	66	kein	Night's														
12	11	41	41	0.0	0	0	Dynamic	4/4	2	1	0							pp													
12	11	41	41	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	67												14				
12	11	43	43	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	68																
12	11	41	41	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	69												15				
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	70												15				
12	11	42	42	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	71												15				
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	72												15				
12	11	43	43	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	73												15				
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	74												15				
12	11	44	44	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	75												15				
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	76																
13	12	45	45	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	77	Un-	dark-										16				
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	78																
13	12	46	46	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	79	-glück,	-ness,														
13	12	48	48	0.0	3/4	3/4	Spanner	4/4	1	1	0																				0
13	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	80	kein	Night's										17				0
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	81																0
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	82												18				
13	12	46	46	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	83												18				
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	84												18				
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	85																
13	12	45	45	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	86												19				
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	87												19				
13	12	46	46	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	88												19				
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	89												19				
13	12	47	47	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	90												19				
13	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	91												19				
13	12	48	48	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	92												19				
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	93																
14	13	49	49	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	94	Un-	dark-										20				0
14	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	95																0
14	13	50	50	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	96	-glück	-ness										21				0
14	13	103/2	103/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																				
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	97																
14	13	52	52	0.0	3/4	3/4	Spanner	4/4	1	1	0																			0	
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	98	die	had										22			0	
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	99															0	
14	13	49	49	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	100												23				
14	13	50	50	1.5	1/4	1/4	Chord	4/4	2	1	3/8		1/4	3/2	101												23				
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	102												23				
14	13	52	52	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	103												23				
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	104																
14	13	49	49	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	105												24				
14	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	106												24				
14	13	50	50	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	107												24				
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	108												24				
14	13	51	51	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	109												24				
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	110												24				
14	13	52	52	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	111												24				
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	112																
15	14	53	53	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	113	Nacht	wrought										25			0	
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	114												25			0	
15	14	54	54	0.0	1/4	1/4	Dynamic	4/4	1	1	0							pp									25				
15	14	54	54	0.0	1/4	1/4	Spanner	4/4	1	1	0																25				
15	14	54	54	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	115												25				
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	116												25				
15	14	55	55	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16after	1/16	1	117												25				
15	14	55	55	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16after	1/16	1	118												25				
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	119												25				
15	14	56	56	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	120																
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	121	ge-	no														
15	14	53	53	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	122												26				
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	123												26				
15	14	54	54	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	124												26				
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	125												26				
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	126												26				
15	14	56	56	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	127												26				
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	128																
15	14	53	53	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	129												27				
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	130												27				
15	14	54	54	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	131												27				
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	132												27				
15	14	55	55	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	133												27				
15	14	111/2	111/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	134												27				
15	14	56	56	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	135												27				
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	136																
16	15	57	57	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	137	-scheh’n!	harm!										28				
16	15	58	58	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	138																
16	15	57	57	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	139												29				
16	15	58	58	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	140																
16	15	60	60	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	141												30				
16	15	121/2	121/2	0.0	7/8	7/8	StaffText	4/4	2	1	0									ausdrucksvoll											
16	15	121/2	121/2	0.0	7/8	7/8	StaffText	4/4	2	1	0									espressivo											
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	142																
16	15	57	57	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	143																
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	144																
16	15	58	58	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	145																
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	146												31				
16	15	59	59	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	147																
16	15	119/2	119/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	148																
16	15	58	58	2.0	1/4	1/4	Chord	4/4	3	2	1/2		1/2	1	149												32				
16	15	60	60	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	150																
17	16	61	61	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	151												33				
17	16	62	62	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	152																
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	153												34				
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	154																
17	16	61	61	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	155												35				
17	16	64	64	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	156																
17	16	61	61	1.5	0	0	Chord	4/4	3	2	3/8		1/4	3/2	157												36				
17	16	125/2	125/2	1.0	3/8	3/8	Chord	4/4	3	2	1/4		1/4	1	158																
17	16	127/2	127/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4		1/4	1	159																
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	160																
17	16	61	61	4.0	0	0	Chord	4/4	3	3	1		1	1	161																
18	17	65	65	0.0	0	0	Spanner	4/4	2	1	0																				1
18	17	65	65	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	162												37				1
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	163												37				1
18	17	66	66	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	164												37				1
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	165												37				1
18	17	67	67	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	166												37				1
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	167												37				1
18	17	68	68	0.0	3/4	3/4	Spanner	4/4	2	1	0																37				
18	17	68	68	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	168				articAccentBelow								37				
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	169				articAccentBelow								37				
18	17	65	65	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	170												38				
18	17	66	66	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	171												38				
18	17	67	67	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	172												38				
18	17	68	68	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	173																
18	17	65	65	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	174												39				
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	175												39				
18	17	66	66	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	176												39				
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	177												39				
18	17	67	67	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	178												39				
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	179												39				
18	17	68	68	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	180												39				
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	181																
19	18	69	69	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	182																
19	18	70	70	1.5	1/4	1/4	Chord	4/4	2	1	3/8		1/4	3/2	183												40				
19	18	143/2	143/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	184												40				
19	18	72	72	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	185												40				
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	186																
19	18	69	69	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	187												41				
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	188																
19	18	70	70	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	189																
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	190																
19	18	71	71	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	191												42				
19	18	72	72	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	192																
19	18	69	69	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	193												43				
19	18	72	72	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	194																
20	19	73	73	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	195												44				
20	19	76	76	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	196				articAccentAbove								44				
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	197				articAccentAbove												
20	19	73	73	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	198												45				
20	19	75	75	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	199												45				
20	19	76	76	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	200																
20	19	73	73	4.0	0	0	Chord	4/4	3	2	1		1	1	201																
21	20	157/2	157/2	0.0	3/8	3/8	Dynamic	4/4	2	1	0							pp													
21	20	79	79	0.0	1/2	1/2	StaffText	4/4	2	1	0									l.H.											
21	20	79	79	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	202																
21	20	80	80	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	203																
21	20	77	77	4.0	0	0	Chord	4/4	2	2	1		1	1	204																
21	20	155/2	155/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	205												46				
21	20	78	78	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	206												46				
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	207												46				
21	20	79	79	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	208												46				
21	20	159/2	159/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	209												46				
21	20	80	80	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	210												46				
21	20	161/2	161/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	211																
21	20	77	77	4.0	0	0	Chord	4/4	3	2	1		1	1	212																
22	21	84	84	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	213				articAccentAbove								47				
22	21	81	81	4.0	0	0	Chord	4/4	2	2	1		1	1	214																
22	21	83	83	1.0	1/2	1/2	Chord	4/4	2	3	1/4		1/4	1	215																
22	21	84	84	1.0	3/4	3/4	Chord	4/4	2	3	1/4		1/4	1	216																
22	21	163/2	163/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	217												48				
22	21	82	82	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	218												48				
22	21	165/2	165/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	219												48				
22	21	83	83	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	220												48				
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	221												48				
22	21	84	84	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	222												48				
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	223																
22	21	81	81	4.0	0	0	Chord	4/4	3	2	1		1	1	224																
23	22	85	85	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	225												47				
23	22	86	86	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	226												47				
23	22	87	87	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	227												47				
23	22	88	88	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	228												47				
23	22	177/2	177/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	229																
23	22	85	85	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	230												49				
23	22	87	87	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	231												49				
23	22	88	88	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	232												49				
23	22	177/2	177/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	233																
24	23	89	89	0.0	0	0	Dynamic	4/4	2	1	0							pp													
24	23	89	89	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	234												50				
24	23	90	90	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	235												50				
24	23	91	91	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	236												50				
24	23	92	92	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	237												50				
24	23	185/2	185/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	238												50				
24	23	89	89	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	239												51				
24	23	90	90	2.0	1/4	1/4	Chord	4/4	3	1	1/2		1/2	1	240												51				
24	23	92	92	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	241												51				
25	24	96	96	0.0	3/4	3/4	Dynamic	4/4	1	1	0							p													
25	24	96	96	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	242	Das	And										52				
25	24	93	93	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	243												50				
25	24	94	94	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	244												50				
25	24	95	95	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	245																
25	24	93	93	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	246												51				
25	24	94	94	2.0	1/4	1/4	Chord	4/4	3	1	1/2		1/2	1	247												51				
25	24	96	96	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	248																
26	25	97	97	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	249	Un-	I										52, 53				
26	25	98	98	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	250	-glück	all										52				
26	25	100	100	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	251	ge-	a-										52				
26	25	97	97	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	252												54				
26	25	98	98	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	253																
26	25	100	100	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	254																
26	25	97	97	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	255																
26	25	100	100	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	256												55				
26	25	98	98	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	257												56				
26	25	99	99	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	258																
27	26	101	101	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	259	-schah	-lone										52, 57				
27	26	102	102	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	260												52				
27	26	104	104	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	261	nur	must										52				
27	26	101	101	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	262												58				
27	26	102	102	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	263																
27	26	104	104	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	264																
27	26	101	101	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	265																
27	26	104	104	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	266																
27	26	102	102	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	267												59				
