mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	Ottava:8va	Ottava:8vb	pedal	Pedal_<sym>keyboardPedalPed</sym>
19	19	74	74	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	212				articAccentAbove										11					
19	19	75	75	0.0	3/4	3/4	Spanner	4/4	3	1	0																								
19	19	75	75	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	213				articAccentAbove															
19	19	72	72	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	214																			
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	215																			
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	216	hätt'	ne'er																	
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	1	1	0																		12						
20	20	78	78	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	217	ich	had											12						
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	218	ge-	per-											12						
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	219				articAccentBelow															
20	20	77	77	0.0	1/4	1/4	Spanner	4/4	2	1	0																		13						
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	220												35	13						
20	20	155/2	155/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																								
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	221																			
20	20	78	78	0.0	1/2	1/2	Dynamic	4/4	2	1	0								p																
20	20	78	78	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	222				articAccentBelow															
20	20	79	79	0.0	3/4	3/4	Dynamic	4/4	2	1	0								pp																
20	20	79	79	0.0	3/4	3/4	Spanner	4/4	2	1	0																		14						
20	20	79	79	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	223												36	14						
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	224													14						
20	20	76	76	0.0	0	0	Spanner	4/4	3	1	0																		15						
20	20	76	76	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	225												37	15						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	226													15						
21	21	80	80	0.0	0	0	Dynamic	4/4	1	1	0								mp																
21	21	80	80	0.0	0	0	Spanner	4/4	1	1	0																								
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	227	-sen-	-mit-																	
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	228	-det	-ted																	
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	229	die	the																	
21	21	80	80	0.0	0	0	Spanner	4/4	2	1	0																								
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	230				articAccentAbove								38							
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	231																			
21	21	81	81	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	232																			
21	21	83	83	0.0	3/4	3/4	Dynamic	4/4	2	1	0								pp																
21	21	83	83	0.0	3/4	3/4	Spanner	4/4	2	1	0																		16						
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	233												39	16						
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	234													16						
21	21	80	80	0.0	0	0	Dynamic	4/4	2	2	0								p										16						
21	21	80	80	3.0	0	0	Chord	4/4	2	2	3/4			1/2	3/2	235													16						
21	21	80	80	0.0	0	0	Spanner	4/4	3	1	0																								
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	236				articAccentBelow								40							
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	237												41							
22	22	84	84	0.0	0	0	Spanner	4/4	1	1	0																		17						
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	238	Kin-	child-											17						
22	22	86	86	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	239	-der	-ren											17						
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	240	hin-	to											17						
22	22	84	84	0.0	0	0	Dynamic	4/4	2	1	0								p																
22	22	84	84	0.0	0	0	Spanner	4/4	2	1	0																								
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	241				articAccentBelow															
22	22	85	85	0.0	1/4	1/4	Dynamic	4/4	2	1	0								pp																
22	22	85	85	0.0	1/4	1/4	Spanner	4/4	2	1	0																		18						
22	22	85	85	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	242												42	18						
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	243													18						
22	22	86	86	0.0	1/2	1/2	Dynamic	4/4	2	1	0								p																
22	22	86	86	0.0	1/2	1/2	Spanner	4/4	2	1	0																								
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	244				articAccentBelow															
22	22	87	87	0.0	3/4	3/4	Spanner	4/4	2	1	0																		19						
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	245												43	19						
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	246													19						
22	22	84	84	0.0	0	0	Spanner	4/4	3	1	0																		20						
22	22	84	84	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	247												44	20						
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	248													20						
23	23	88	88	0.0	0	0	Dynamic	4/4	1	1	0								mf																
23	23	88	88	0.0	0	0	Spanner	4/4	1	1	0																								
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	249	-aus!	play!		articAccentAbove															
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	250	Man	Now																	
23	23	88	88	0.0	0	0	Dynamic	4/4	2	1	0								mf																
23	23	88	88	0.0	0	0	Spanner	4/4	2	1	0																								
23	23	88	88	4.0	0	0	Chord	4/4	2	1	1			1	1	251																			
23	23	88	88	0.0	0	0	Spanner	4/4	3	1	0																								
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	252												45							
23	23	90	90	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	253																			
24	24	92	92	0.0	0	0	Spanner	4/4	1	1	0																			12					
24	24	92	92	0.0	0	0	Spanner	4/4	1	1	0																			12, 13					
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	254	hat	hence												12, 13					
24	24	94	94	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	255	sie	they												12, 13					
24	24	191/2	191/2	0.0	7/8	7/8	Dynamic	4/4	1	1	0								p																
24	24	191/2	191/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																								
24	24	191/2	191/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																								
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	256	ge-	have																	
24	24	95	95	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	257												46							
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	258																			
24	24	185/2	185/2	0.0	1/8	1/8	Spanner	4/4	3	1	0																			14					
24	24	185/2	185/2	0.125	1/8	1/8	Chord	4/4	3	1	1/32			1/32	1	259														14					
24	24	741/8	741/8	0.125	5/32	5/32	Chord	4/4	3	1	1/32			1/32	1	260														14					
24	24	371/4	371/4	0.125	3/16	3/16	Chord	4/4	3	1	1/32			1/32	1	261														14					
24	24	743/8	743/8	0.125	7/32	7/32	Chord	4/4	3	1	1/32			1/32	1	262														14					
24	24	93	93	0.5	1/4	1/4	Chord	4/4	3	1	1/8		c16	1/8	1	263														14					
24	24	93	93	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	264														14					
24	24	187/2	187/2	0.0	3/8	3/8	Dynamic	4/4	3	1	0								pp											14					
24	24	94	94	0.0	1/2	1/2	Spanner	4/4	3	1	0																								
24	24	94	94	0.5	1/2	1/2	Chord	4/4	3	1	1/8		c16	1/8	1	265																			
24	24	94	94	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	266																			
24	24	92	92	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	267																			
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	268																			
25	25	96	96	0.0	0	0	Spanner	4/4	1	1	0																		21						
25	25	96	96	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	269	-tra-	borne											21						
25	25	97	97	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	270	-gen,	them,											21						
25	25	98	98	0.0	1/2	1/2	Dynamic	4/4	1	1	0								mp																
25	25	98	98	0.0	1/2	1/2	Spanner	4/4	1	1	0																								
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	271	ge-	have																	
25	25	96	96	0.0	0	0	Dynamic	4/4	2	1	0								p																
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	272				articAccentAbove								47							
25	25	98	98	0.0	1/2	1/2	Dynamic	4/4	2	1	0								mp									47							
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	273				articAccentAbove								47							
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	274				articAccentAbove															
25	25	96	96	0.0	0	0	Spanner	4/4	3	1	0																		22						
25	25	96	96	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	275				articAccentAbove								48	22						
25	25	97	97	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	276				articAccentAbove								48	22						
25	25	98	98	0.0	1/2	1/2	Spanner	4/4	3	1	0																								
25	25	98	98	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	277																			
25	25	96	96	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	278																			
25	25	98	98	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	279				articAccentBelow															
26	26	100	100	0.0	0	0	Spanner	4/4	1	1	0																		23						
26	26	100	100	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	280	-tra-	borne										49	23						
26	26	101	101	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	281													23						
26	26	102	102	0.0	1/2	1/2	Dynamic	4/4	1	1	0								f																
26	26	102	102	0.0	1/2	1/2	Spanner	4/4	1	1	0																								
26	26	102	102	0.0	1/2	1/2	Spanner	4/4	1	1	0																			15					
26	26	102	102	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	282	-gen,	them												15					
26	26	207/2	207/2	0.0	7/8	7/8	Dynamic	4/4	1	1	0								mf																
26	26	207/2	207/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																								
26	26	207/2	207/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	283	hin-	a-																	
26	26	100	100	0.0	0	0	Dynamic	4/4	2	1	0								mf																
26	26	100	100	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	284												50							
26	26	101	101	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	285												50							
26	26	102	102	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	286																			
26	26	100	100	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	287												51							
26	26	102	102	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	288												51							
26	26	103	103	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	289																			
26	26	100	100	4.0	0	0	Chord	4/4	3	2	1			1	1	290																			
27	27	104	104	0.0	0	0	Dynamic	4/4	1	1	0								f																
27	27	104	104	0.0	0	0	Spanner	4/4	1	1	0																			16					
27	27	104	104	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	291	-aus!	-way!												16					
27	27	106	106	0.0	1/2	1/2	Spanner	4/4	1	1	0																								
27	27	104	104	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	292																			
27	27	107	107	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	293												52							
27	27	215/2	215/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0								p																
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	294																			
27	27	104	104	0.0	0	0	Dynamic	4/4	3	1	0								f																
27	27	104	104	0.0	0	0	Spanner	4/4	3	1	0																			17					
27	27	104	104	4.0	0	0	Chord	4/4	3	1	1			1	1	295														17					
27	27	104	104	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	296												53		17					
27	27	105	105	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	297												53		17					
27	27	106	106	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	298												53		17					
27	27	107	107	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	299														17					
28	28	111	111	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	300	Ich	They										54							
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	301																			
28	28	108	108	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	302																			
28	28	111	111	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	303																			
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	304																			
28	28	108	108	0.0	0	0	Dynamic	4/4	3	1	0								f																
28	28	108	108	0.0	0	0	Spanner	4/4	3	1	0																								
28	28	108	108	0.0	0	0	Spanner	4/4	3	1	0																			18					
28	28	108	108	4.0	0	0	Chord	4/4	3	1	1			1	1	305														18					
28	28	108	108	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	306												55		18					
28	28	109	109	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	307												55		18					
28	28	110	110	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	308												55		18					
28	28	111	111	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	309														18					
29	29	112	112	0.0	0	0	Dynamic	4/4	1	1	0								p																
29	29	112	112	0.0	0	0	StaffText	4/4	1	1	0										schmerzlich														
29	29	112	112	0.0	0	0	StaffText	4/4	1	1	0										doloroso														
29	29	112	112	0.0	0	0	Spanner	4/4	1	1	0																				0				
29	29	112	112	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	310	durf-	would													0				
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	311	-te	not													0				
29	29	114	114	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	312	nichts	let													0				
29	29	115	115	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	313	da-	me													0				
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	314	-zu	fore-													0				
29	29	112	112	4.0	0	0	Chord	4/4	2	1	1		c32	1	1	315												56							
29	29	112	112	4.0	0	0	Chord	4/4	2	1	1			1	1	316												56							
29	29	112	112	0.0	0	0	Dynamic	4/4	3	1	0								p																
29	29	112	112	0.0	0	0	Spanner	4/4	3	1	0																								
29	29	112	112	0.0	0	0	Spanner	4/4	3	1	0																				1				
29	29	112	112	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	317												57			1				
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	318															1				
29	29	112	112	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	319												58			1				
29	29	114	114	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	320															1				
30	30	116	116	0.0	0	0	Dynamic	4/4	1	1	0								fp																
30	30	116	116	0.0	0	0	Spanner	4/4	1	1	0																								
30	30	116	116	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	321	sa-	-warn										59							
30	30	119	119	0.0	3/4	3/4	Dynamic	4/4	1	1	0								mp																
30	30	119	119	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	322																			
30	30	116	116	0.0	0	0	StaffText	4/4	2	1	0										r.H.														
30	30	116	116	0.0	0	0	Dynamic	4/4	2	1	0								fp																
30	30	116	116	4.0	0	0	Chord	4/4	2	1	1		c32	1	1	323												60							
30	30	118	118	0.0	1/2	1/2	Dynamic	4/4	2	1	0								mp																
30	30	116	116	4.0	0	0	Chord	4/4	2	1	1			1	1	324																			
30	30	116	116	0.0	0	0	Spanner	4/4	3	1	0																								
30	30	116	116	4.0	0	0	Chord	4/4	3	1	1			1	1	325																			
31	31	120	120	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	326	-gen!	them!																	
31	31	120	120	0.0	0	0	Dynamic	4/4	2	1	0								p																
31	31	120	120	0.0	0	0	Spanner	4/4	2	1	0																				2				
31	31	120	120	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	327				articAccentAbove											2				
31	31	123	123	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	328				articAccentAbove											2				
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	329				articAccentAbove											2				
31	31	120	120	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	330												61			2				
31	31	121	121	1.0	1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	331												61			2				
31	31	122	122	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	332												61			2				
31	31	123	123	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	333															2				
31	31	120	120	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	334																			
31	31	123	123	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	335																			
31	31	247/2	247/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	336																			
31	31	120	120	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	337												62							
31	31	122	122	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	338																			
32	32	126	126	0.0	1/2	1/2	Dynamic	4/4	1	1	0								mp																
32	32	253/2	253/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		24						
32	32	253/2	253/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	339	In	In											24						
32	32	127	127	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	340	die-	such											24						
32	32	255/2	255/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	341	-sem	a											24						
32	32	124	124	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	342				articAccentAbove											2				
32	32	127	127	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
32	32	127	127	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	343				articAccentAbove															
32	32	255/2	255/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	344				articAccentAbove															
32	32	124	124	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	345												63							
32	32	125	125	1.0	1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	346												63							
32	32	126	126	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	347												63							
32	32	127	127	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	348																			
32	32	124	124	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	349																			
32	32	127	127	0.0	3/4	3/4	Dynamic	4/4	3	1	0								f																
32	32	127	127	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	350																			
32	32	255/2	255/2	0.0	7/8	7/8	Dynamic	4/4	3	1	0								pp																
32	32	255/2	255/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	351																			
32	32	124	124	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	352												64							
32	32	126	126	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	353																			
32	32	125	125	1.0	1/4	1/4	Chord	4/4	3	3	1/4			1/4	1	354																			
32	32	126	126	2.0	1/2	1/2	Chord	4/4	3	3	1/2			1/2	1	355																			
33	33	128	128	0.0	0	0	Spanner	4/4	1	1	0																								
33	33	128	128	0.0	0	0	Spanner	4/4	1	1	0																			19					
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	356	Wet-	tem-												19					
33	33	129	129	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	357	-ter,	-pest,												19					
33	33	130	130	0.0	1/2	1/2	Spanner	4/4	1	1	0																								
33	33	261/2	261/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		25						
33	33	261/2	261/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	358	in	on											25						
33	33	131	131	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	359	die-	such											25						
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	360	-sem	a											25						
33	33	128	128	0.0	0	0	Spanner	4/4	2	1	0																		26						
33	33	128	128	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	361												65	26						
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	362												65	26						
33	33	130	130	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	363												65	26						
33	33	131	131	0.0	3/4	3/4	Dynamic	4/4	2	1	0								f																
33	33	131	131	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
33	33	131	131	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	364																			
33	33	128	128	0.0	0	0	Dynamic	4/4	3	1	0								p																
33	33	128	128	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	365																			
33	33	131	131	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	366																			
33	33	128	128	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	367				articAccentBelow								66							
33	33	130	130	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	368				articAccentBelow															
34	34	132	132	0.0	0	0	Dynamic	4/4	1	1	0								mf																
34	34	132	132	0.0	0	0	Spanner	4/4	1	1	0																								
34	34	132	132	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	369	Saus,	day,		articAccentBelow															
34	34	135	135	0.0	3/4	3/4	Dynamic	4/4	1	1	0								mp																
34	34	135	135	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	370	nie	I										67							
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	371																			
34	34	132	132	0.0	0	0	Dynamic	4/4	2	1	0								p																
34	34	132	132	0.0	0	0	Spanner	4/4	2	1	0																		27						
34	34	132	132	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	372												68	27						
34	34	133	133	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	373												68	27						
34	34	134	134	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	374												68	27						
34	34	135	135	0.0	3/4	3/4	Dynamic	4/4	2	1	0								mp																
34	34	135	135	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
34	34	135	135	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	375																			
34	34	132	132	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	376				articAccentBelow															
34	34	134	134	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	377				articAccentBelow															
35	35	136	136	0.0	0	0	Dynamic	4/4	1	1	0								p																
35	35	136	136	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	378	hätt'	ne'er																	
35	35	138	138	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	379	ich	had																	
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	380	ge-	per-																	
35	35	136	136	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	381												69							
35	35	138	138	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	382												69							
35	35	136	136	4.0	0	0	Chord	4/4	2	2	1		c32	1	1	383												70							
35	35	136	136	4.0	0	0	Chord	4/4	2	2	1			1	1	384												70							
35	35	136	136	0.0	0	0	Dynamic	4/4	3	1	0								p																
35	35	136	136	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	385												71							
35	35	138	138	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	386																			
36	36	140	140	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	387	-las-	-mit-																	
36	36	141	141	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	388	-sen	-ted																	
36	36	143	143	0.0	3/4	3/4	Spanner	4/4	1	1	0																		28						
36	36	143	143	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	389	die	the										72	28						
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	390													28						
36	36	140	140	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	391																			
36	36	143	143	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	392												73							
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	393																			
36	36	140	140	4.0	0	0	Chord	4/4	2	2	1		c32	1	1	394												74							
36	36	140	140	4.0	0	0	Chord	4/4	2	2	1			1	1	395												74							
36	36	140	140	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	396												75							
36	36	142	142	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	397																			
37	37	144	144	0.0	0	0	Spanner	4/4	1	1	0																								
37	37	144	144	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	398	Kin-	child-		articAccentAbove								76							
37	37	145	145	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	399				articAccentAbove															
37	37	146	146	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	400	-der	-ren																	
37	37	147	147	0.0	3/4	3/4	Spanner	4/4	1	1	0																			20					
37	37	147	147	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	401	hin-	to												20					
37	37	144	144	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	402												77							
37	37	145	145	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	403												77							
37	37	146	146	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	404												77							
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	405																			
37	37	144	144	3.0	0	0	Chord	4/4	2	2	3/4			1/2	3/2	406																			
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	407																			
37	37	144	144	4.0	0	0	Chord	4/4	2	3	1			1	1	408																			
37	37	144	144	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	409												78							
37	37	146	146	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	410																			
38	38	148	148	0.0	0	0	Spanner	4/4	1	1	0																								
38	38	148	148	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	411	-aus,	stray,																	
38	38	148	148	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	412																			
38	38	148	148	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	413												79							
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	414												79							
38	38	150	150	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	415																			
38	38	148	148	3.0	0	0	Chord	4/4	2	3	3/4			1/2	3/2	416																			
